,id,nome,microrregiao.mesorregiao.UF.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.id,regiao-imediata.regiao-intermediaria.UF.regiao.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.nome,microrregiao.id,microrregiao.nome,microrregiao.mesorregiao.id,microrregiao.mesorregiao.nome
0,1700251,Abreulândia,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
1,1700301,Aguiarnópolis,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
2,1700350,Aliança do Tocantins,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
3,1700400,Almas,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
4,1700707,Alvorada,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
5,1701002,Ananás,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
6,1701051,Angico,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
7,1701101,Aparecida do Rio Negro,TO,1,N,Norte,17006,Porto Nacional,1702,Oriental do Tocantins
8,1701309,Aragominas,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
9,1701903,Araguacema,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
10,1702000,Araguaçu,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
11,1702109,Araguaína,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
12,1702158,Araguanã,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
13,1702208,Araguatins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
14,1702307,Arapoema,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
15,1702406,Arraias,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
16,1702554,Augustinópolis,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
17,1702703,Aurora do Tocantins,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
18,1702901,Axixá do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
19,1703008,Babaçulândia,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
20,1703057,Bandeirantes do Tocantins,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
21,1703073,Barra do Ouro,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
22,1703107,Barrolândia,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
23,1703206,Bernardo Sayão,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
24,1703305,Bom Jesus do Tocantins,TO,1,N,Norte,17006,Porto Nacional,1702,Oriental do Tocantins
25,1703602,Brasilândia do Tocantins,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
26,1703701,Brejinho de Nazaré,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
27,1703800,Buriti do Tocantins,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
28,1703826,Cachoeirinha,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
29,1703842,Campos Lindos,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
30,1703867,Cariri do Tocantins,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
31,1703883,Carmolândia,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
32,1703891,Carrasco Bonito,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
33,1703909,Caseara,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
34,1704105,Centenário,TO,1,N,Norte,17007,Jalapão,1702,Oriental do Tocantins
35,1704600,Chapada de Areia,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
36,1705102,Chapada da Natividade,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
37,1705508,Colinas do Tocantins,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
38,1705557,Combinado,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
39,1705607,Conceição do Tocantins,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
40,1706001,Couto Magalhães,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
41,1706100,Cristalândia,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
42,1706258,Crixás do Tocantins,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
43,1706506,Darcinópolis,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
44,1707009,Dianópolis,TO,1,N,Norte,17008,Dianópolis,1702,Oriental do Tocantins
45,1707108,Divinópolis do Tocantins,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
46,1707207,Dois Irmãos do Tocantins,TO,1,N,Norte,17003,Miracema do Tocantins,1701,Ocidental do Tocantins
47,1707306,Dueré,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
48,1707405,Esperantina,TO,1,N,Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins
49,1707553,Fátima,TO,1,N,Norte,17004,Rio Formoso,1701,Ocidental do Tocantins
50,1707652,Figueirópolis,TO,1,N,Norte,17005,Gurupi,1701,Ocidental do Tocantins
51,1707702,Filadélfia,TO,1,N,Norte,17002,Araguaína,1701,Ocidental do Tocantins
